mc_step,rho_C,L_CD
1248,0.8654,1668
1249,0.071,738
1250,0.8598,1634
1251,0.0731,800
1252,0.86,1736
1253,0.0699,740
1254,0.8639,1728
1255,0.0688,734
1256,0.8599,1756
1257,0.0722,756
1258,0.8599,1676
1259,0.0726,772
1260,0.8631,1622
1261,0.0714,786
1262,0.8577,1824
1263,0.0726,820
1264,0.8618,1624
1265,0.0721,786
1266,0.8608,1684
1267,0.0724,796
1268,0.8619,1634
1269,0.0719,748
1270,0.8644,1660
1271,0.0716,766
1272,0.8608,1688
1273,0.0737,772
1274,0.8618,1636
1275,0.0725,722
1276,0.8613,1668
1277,0.0727,766
1278,0.8607,1672
1279,0.0717,758
1280,0.8581,1698
1281,0.0727,712
1282,0.8602,1614
1283,0.0718,702
1284,0.8636,1638
1285,0.0684,704
1286,0.8628,1630
1287,0.0692,732
1288,0.8652,1662
1289,0.068,694
1290,0.8626,1638
1291,0.07,742
1292,0.8627,1626
1293,0.0695,718
1294,0.8635,1626
1295,0.073,736
1296,0.8619,1630
1297,0.0712,774
1298,0.8593,1738
1299,0.0716,756
1300,0.8605,1660
1301,0.0711,730
1302,0.8646,1620
1303,0.0702,722
1304,0.861,1672
1305,0.0715,720
1306,0.8607,1640
1307,0.0708,702
1308,0.8656,1620
1309,0.0686,704
1310,0.87,1542
1311,0.0684,696
1312,0.8657,1646
1313,0.0676,690
1314,0.8658,1706
1315,0.0686,724
1316,0.8663,1672
1317,0.0705,742
1318,0.865,1634
1319,0.0696,746
1320,0.8622,1688
1321,0.0695,720
1322,0.8619,1612
1323,0.0725,738
1324,0.8624,1688
1325,0.0695,716
1326,0.8643,1706
1327,0.0697,718
1328,0.8623,1670
1329,0.0699,750
1330,0.8639,1666
1331,0.0699,772
1332,0.8627,1648
1333,0.0704,766
1334,0.8598,1698
1335,0.0703,754
1336,0.8618,1654
1337,0.071,810
1338,0.8608,1730
1339,0.0691,760
1340,0.8661,1596
1341,0.0692,752
1342,0.8657,1592
1343,0.0683,706
1344,0.8633,1662
1345,0.0703,710
1346,0.8634,1564
1347,0.0723,748
1348,0.8623,1662
1349,0.07,734
1350,0.8646,1642
1351,0.0691,658
1352,0.8693,1632
1353,0.0667,694
1354,0.8634,1726
1355,0.0696,732
1356,0.8645,1664
1357,0.0704,772
1358,0.8676,1614
1359,0.0693,798
1360,0.8634,1750
1361,0.0675,726
1362,0.8678,1558
1363,0.0675,736
1364,0.8648,1682
1365,0.0685,700
1366,0.8677,1650
1367,0.0673,700
1368,0.8664,1672
1369,0.0681,706
1370,0.8658,1660
1371,0.0682,696
1372,0.8666,1670
1373,0.0681,706
1374,0.8674,1618
1375,0.0687,748
1376,0.8656,1654
1377,0.0698,780
