mc_step,rho_C,L_CD
1097,0.6652,8848
1098,0.6641,8978
1099,0.6656,8924
1100,0.6672,8988
1101,0.6644,8952
1102,0.6705,8902
1103,0.6623,9016
1104,0.6597,9006
1105,0.659,9098
1106,0.6542,8978
1107,0.6581,9008
1108,0.6638,8964
1109,0.6584,9062
1110,0.6615,9074
1111,0.6546,9090
1112,0.6704,8796
1113,0.6597,8940
1114,0.6663,8826
1115,0.6651,8918
1116,0.6718,8582
1117,0.6653,8940
1118,0.6588,9052
1119,0.6593,9020
1120,0.6656,8938
1121,0.6596,9120
1122,0.6581,8964
1123,0.659,8914
1124,0.652,8974
1125,0.6592,8970
1126,0.656,8950
1127,0.6682,8810
1128,0.659,8828
1129,0.6746,8770
1130,0.6644,8836
1131,0.6621,8986
1132,0.6585,9002
1133,0.6544,9054
1134,0.6679,8942
1135,0.6643,8942
1136,0.6667,8850
1137,0.6667,9008
1138,0.6645,8970
1139,0.6641,8900
1140,0.6646,8872
1141,0.6727,8940
1142,0.6679,8878
1143,0.6647,8906
1144,0.6573,8952
1145,0.6528,9176
1146,0.6617,8936
1147,0.6698,8854
1148,0.661,8934
1149,0.6573,8984
1150,0.6672,8870
1151,0.6602,9074
1152,0.661,8994
1153,0.6546,9066
1154,0.6631,9052
1155,0.6634,9004
1156,0.6669,8804
1157,0.6645,8892
1158,0.6653,8940
1159,0.6598,9062
1160,0.6619,9000
1161,0.6672,8868
1162,0.6605,8994
1163,0.6609,8884
1164,0.6541,9144
1165,0.658,9112
1166,0.6608,8978
1167,0.6707,8908
1168,0.6629,8912
1169,0.6664,8934
1170,0.6602,9004
1171,0.663,8952
1172,0.6601,8984
1173,0.6585,9090
1174,0.6679,8868
1175,0.6612,8984
1176,0.658,9042
1177,0.6628,8902
1178,0.6583,8882
1179,0.6588,8980
1180,0.6611,8980
1181,0.6564,8918
1182,0.6668,8888
1183,0.6556,9016
1184,0.6603,8958
1185,0.6618,9000
1186,0.6675,8904
1187,0.6616,9092
1188,0.666,8894
1189,0.6551,9082
1190,0.6543,9072
1191,0.6606,8938
1192,0.6603,9016
1193,0.6601,8928
1194,0.6626,8986
1195,0.6613,9020
1196,0.6653,8946
1197,0.6621,8956
1198,0.6613,8964
1199,0.6669,8818
1200,0.6621,8946
1201,0.6588,9040
1202,0.6616,8960
1203,0.6625,8994
1204,0.6662,8884
1205,0.6577,8988
1206,0.6626,8978
1207,0.664,8984
1208,0.6522,8996
1209,0.6581,9098
1210,0.6638,8940
1211,0.6642,8930
1212,0.6598,8930
1213,0.655,9078
1214,0.6645,8886
1215,0.6628,9076
1216,0.6657,8922
1217,0.6653,8888
1218,0.6585,8924
1219,0.6644,8936
1220,0.6676,8794
1221,0.6601,8912
1222,0.6603,8914
1223,0.662,8918
1224,0.6731,8776
1225,0.658,8970
1226,0.6633,8916
1227,0.6593,9076
1228,0.6548,9052
1229,0.6634,8876
1230,0.6561,8888
1231,0.6656,8914
1232,0.6627,8912
1233,0.6697,8840
1234,0.6734,8856
1235,0.6637,8876
1236,0.6636,8964
1237,0.6654,8814
1238,0.6624,8980
1239,0.6583,8900
1240,0.661,8868
1241,0.6592,8870
1242,0.6613,8998
1243,0.6655,8968
1244,0.6629,8982
1245,0.6609,8982
1246,0.6622,8992
1247,0.6672,8824
1248,0.6598,8946
1249,0.6552,9074
1250,0.6653,8850
1251,0.6611,8988
1252,0.6635,8922
1253,0.6721,8722
1254,0.6638,8926
1255,0.6682,8872
1256,0.6625,8866
1257,0.6642,8888
1258,0.6681,8836
1259,0.6614,8844
1260,0.6598,9024
1261,0.6619,8960
1262,0.6591,9068
1263,0.6657,9004
1264,0.6614,8900
1265,0.6646,8942
1266,0.677,8732
1267,0.6692,8852
1268,0.6671,8934
1269,0.6593,8974
1270,0.6578,9088
1271,0.6653,8844
1272,0.66,8908
1273,0.6621,8922
1274,0.6638,8968
1275,0.6587,8978
1276,0.6612,8968
1277,0.6543,9092
1278,0.6644,8888
1279,0.6567,9046
1280,0.6584,8864
1281,0.6572,9018
1282,0.6565,9028
1283,0.6552,8968
1284,0.6585,9084
1285,0.6657,8816
1286,0.6601,9018
1287,0.6679,8824
1288,0.6698,8844
1289,0.6557,9020
1290,0.6551,8928
1291,0.6563,9088
1292,0.6612,8896
1293,0.66,8936
1294,0.6674,8808
1295,0.6678,8898
1296,0.6613,9070
1297,0.6631,8824
1298,0.6633,8930
1299,0.6668,8858
1300,0.6622,9070
1301,0.6656,8912
1302,0.6574,9026
1303,0.6665,8824
1304,0.6723,8642
1305,0.6664,8896
1306,0.6596,8990
1307,0.6594,8952
1308,0.6587,8970
1309,0.6604,8880
1310,0.6664,8894
1311,0.6613,8958
1312,0.6683,8908
1313,0.6622,8936
1314,0.6634,8976
1315,0.6605,9006
1316,0.6673,8912
1317,0.6651,9002
1318,0.6558,9030
1319,0.6624,8900
1320,0.6546,8952
1321,0.6646,8836
1322,0.6675,8884
1323,0.6646,8960
1324,0.6681,8848
1325,0.6672,8960
1326,0.6539,8986
1327,0.6575,8988
1328,0.6643,8942
1329,0.669,8758
1330,0.6581,8938
1331,0.6526,9150
1332,0.6592,8984
1333,0.6561,9006
1334,0.6572,9056
1335,0.6619,8934
1336,0.6621,9020
1337,0.6595,8934
1338,0.6547,9036
1339,0.6588,9008
1340,0.6631,8936
1341,0.6683,8930
1342,0.6593,8898
1343,0.671,8844
1344,0.6654,8948
1345,0.6633,8988
1346,0.6645,8946
1347,0.6637,8868
1348,0.657,9062
1349,0.6595,8978
1350,0.661,8964
1351,0.6662,9048
1352,0.6641,9034
1353,0.6668,8942
1354,0.6595,9094
1355,0.6618,8946
1356,0.6655,8882
1357,0.6581,8990
1358,0.6536,9072
1359,0.6577,9038
1360,0.6619,9118
1361,0.6577,8980
1362,0.6666,8904
1363,0.6697,8832
1364,0.6673,8818
1365,0.6528,9140
1366,0.6632,8814
1367,0.6568,8984
