mc_step,rho_C,rho_CD
1053,0.3324,0.2056
1054,0.5008,0.2416
1055,0.33,0.2052
1056,0.4784,0.2348
1057,0.3492,0.2192
1058,0.4764,0.2268
1059,0.3528,0.2144
1060,0.4752,0.2356
1061,0.3528,0.224
1062,0.4716,0.23
1063,0.3612,0.224
1064,0.4792,0.2184
1065,0.3528,0.2036
1066,0.4708,0.218
1067,0.3432,0.2072
1068,0.4912,0.2248
1069,0.3456,0.212
1070,0.4812,0.2232
1071,0.3444,0.2084
1072,0.4728,0.2208
1073,0.3616,0.2216
1074,0.4664,0.2232
1075,0.3548,0.2112
1076,0.4776,0.2252
1077,0.352,0.2216
1078,0.4816,0.2312
1079,0.3424,0.2064
1080,0.478,0.2228
1081,0.3472,0.2088
1082,0.4684,0.2068
1083,0.3512,0.2088
1084,0.4828,0.2196
1085,0.346,0.2084
1086,0.4756,0.2152
1087,0.3468,0.2064
1088,0.4844,0.2252
1089,0.3512,0.1976
1090,0.4692,0.1964
1091,0.3504,0.1936
1092,0.4728,0.2172
1093,0.3528,0.1968
1094,0.484,0.2208
1095,0.3432,0.2008
1096,0.4836,0.2224
1097,0.3416,0.194
1098,0.482,0.2108
1099,0.3496,0.1928
1100,0.4748,0.2184
1101,0.346,0.2036
1102,0.4804,0.2256
1103,0.3484,0.2056
1104,0.4848,0.2232
1105,0.3344,0.1992
1106,0.4952,0.2172
1107,0.3288,0.188
1108,0.4972,0.2304
1109,0.3492,0.2008
1110,0.48,0.2192
1111,0.3452,0.1908
1112,0.474,0.1948
1113,0.3524,0.1996
1114,0.4764,0.2088
1115,0.3528,0.202
1116,0.4844,0.2272
1117,0.3408,0.1848
1118,0.4868,0.2152
1119,0.342,0.1888
1120,0.4804,0.2164
1121,0.354,0.2052
1122,0.4704,0.2128
1123,0.3628,0.202
1124,0.4692,0.2
1125,0.3528,0.1932
1126,0.4772,0.21
1127,0.3556,0.2016
1128,0.464,0.206
1129,0.356,0.1952
1130,0.4736,0.2092
1131,0.3528,0.196
1132,0.4796,0.216
1133,0.3572,0.2028
1134,0.4824,0.21
1135,0.3488,0.1916
1136,0.4788,0.2208
1137,0.3512,0.2116
1138,0.47,0.2368
1139,0.3592,0.2156
1140,0.4748,0.2332
1141,0.356,0.2048
1142,0.4744,0.2304
1143,0.3636,0.2212
1144,0.466,0.2188
1145,0.3692,0.2252
1146,0.4576,0.2112
1147,0.37,0.2196
1148,0.4692,0.2172
1149,0.3608,0.218
1150,0.4592,0.2256
1151,0.3684,0.2264
1152,0.4568,0.2236
1153,0.3624,0.2152
1154,0.4652,0.22
1155,0.3568,0.2084
1156,0.4672,0.2084
1157,0.3572,0.2136
1158,0.462,0.2204
1159,0.3648,0.2224
1160,0.4652,0.214
1161,0.3596,0.212
1162,0.4668,0.2244
1163,0.3452,0.2224
1164,0.4928,0.2312
1165,0.3336,0.2024
1166,0.4892,0.234
1167,0.346,0.2064
1168,0.474,0.22
1169,0.35,0.192
1170,0.4884,0.216
1171,0.3488,0.2016
1172,0.4688,0.2152
1173,0.3548,0.2084
1174,0.4816,0.2028
1175,0.3572,0.214
1176,0.478,0.2276
1177,0.3508,0.214
1178,0.4748,0.2188
1179,0.3468,0.2092
