BETA,GAMMA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.11300645858107586,0.38382734896841403,0.32484576000000004,0.00011820795402240001,0.010872348137472421,0.03346926288178248
0.11300645858107586,0.40802572861969516,0.32008664,0.00011438183751039998,0.010694944483745578,0.03341265503535411
0.11300645858107586,0.4337496941348323,0.31474744,0.0001201651414464,0.010961986199881844,0.03482788041066146
0.11300645858107586,0.4610954260127488,0.30851992,0.00011570533119359997,0.010756641259872897,0.03486530548780415
0.11300645858107586,0.4901651684480225,0.30156856,0.00011899219552639999,0.010908354391309442,0.036172054511615676
0.11300645858107586,0.5210676116163322,0.29352968,0.00011391579109760002,0.010673134080372083,0.03636134540252312
0.11300645858107586,0.5539182980610752,0.28463152,0.0001173972784896,0.010835002468370738,0.03806676951439088
0.11300645858107586,0.5888400547006117,0.27442504,0.0001185627329984,0.010888651569335847,0.03967805404833264
0.11300645858107586,0.6259634520713893,0.48576719999999995,0.17501999207616,0.4183539076860165,0.861223046113481
0.11300645858107586,0.6654272925240312,0.47922128,0.1642272403151616,0.40524960248612407,0.8456419182514684
0.11300645858107586,0.7073791291977272,0.47348816000000005,0.1557331264998144,0.39463036692557557,0.8334535058396719
0.11300645858107586,0.7519758177133438,0.47518791999999993,0.17810505665407358,0.4220249479048289,0.8881222146910405
0.11300645858107586,0.7993841026480046,0.45842952000000003,0.1280515457205696,0.3578429064835149,0.7805843447505625
0.11300645858107586,0.8497812409839364,0.45952248,0.1302612342146496,0.36091721241117003,0.7854179678242728
0.11300645858107586,0.9033556648626223,0.40614064,0.0429865141723904,0.2073318937655044,0.5104928523417513
0.11300645858107586,0.9603076861222645,0.38554712,0.044548844147705595,0.21106597107943667,0.5474453319206136
0.11300645858107586,1.0208502452527815,0.34547736,0.0344070155834304,0.18549128169116305,0.5369129881366554
0.11300645858107586,1.0852097075686449,0.0,0.0,0.0,0.0
0.11300645858107586,1.153626709576396,0.0,0.0,0.0,0.0
0.11300645858107586,1.226357058701375,0.0,0.0,0.0,0.0
0.11300645858107586,1.303672689737678,0.0,0.0,0.0,0.0
0.11300645858107586,1.3858626815974695,0.0,0.0,0.0,0.0
0.11300645858107586,1.4732343381612067,0.0,0.0,0.0,0.0
0.11300645858107586,1.5661143372700317,0.0,0.0,0.0,0.0
